"EPCI","LIBEPCI","NATURE_EPCI"
"200036150","CC des Hauts du Val de Saône","CC"
"200036168","CC des Pays de L'Aigle et de la Marche","CC"
"200036325","CC de la Vallée d'Abondance","CC"
"200036358","CC de Bourmont, Breuvannes, Saint-Blin","CC"
"200036366","CC Vannier Amance","CC"
"200036382","CC des Coteaux de Pouyastruc","CC"
"200036457","CC Bigorre-Adour-Echez","CC"
"200036465","CC Thann-Cernay","CC"
"200036473","CA De Saintes","CA"
"200036499","CC de Marana-Golo","CC"
"200036523","CC Des Bastides en Haut Agenais Périgord","CC"
"200036549","CC Val de Gray","CC"
"200036572","CC Porte d'Aquitaine en Pays de Serres","CC"
"200036614","CA Sud Pays Basque","CA"
"200036655","CC du Mortainais","CC"
"200036721","CC du Val de Sée","CC"
"200037059","CC de la Haute Somme","CC"
"200037133","CC du Provinois","CC"
"200038933","CA Privas Centre Ardèche","CA"
"200038958","CC de la Pieve de L'Ornano","CC"
"200038982","CC Dame Blanche et Bussière","CC"
"200038990","CC de Saint-Méen Montauban","CC"
"200039022","CA Vitré Communauté","CA"
"200039055","CC du Sombernonnais et de la Vallée de l'Ouche","CC"
"200039063","CC Forêts, Seine et Suzon","CC"
"200039196","CC des Baronnies","CC"
"200039204","CC de Lacq-Orthez","CC"
"200039519","CC du Quercy Blanc","CC"
"200039576","CC du Pays Chablisien","CC"
"200039626","CC du Villeneuvien","CC"
"200039634","CC du Florentinois","CC"
"200039642","CC Le Tonnerrois en Bourgogne","CC"
"200039709","CC de la Haute Vallée du Serein, Nucérienne et Terre Plaine","CC"
"200039725","CC Forterre Val d'Yonne","CC"
"200039733","CC de l'Orée de Puisaye","CC"
"200039758","CC de l'Avallonnais, de Morvan-Vauban et du Vézelien","CC"
"200039808","CC des Gorges de l'Ardèche","CC"
"200039824","CC Ardèche des Sources et Volcans","CC"
"200039832","CC Chassezac et Claysse","CC"
"200039857","CA du Pays de Grasse","CA"
"200039865","CA Metz Métropole","CA"
"200039907","CC du Sud Messin","CC"
"200039915","CA des Pays de Lérins","CA"
