"id","code_insee","code_postal","ville"
230,"01248","01390","MIONNAY"
231,"01249","01700","MIRIBEL"
232,"01250","01600","MISERIEUX"
233,"01252","01140","MOGNENEINS"
234,"01254","01250","MONTAGNAT"
235,"01255","01470","MONTAGNIEU"
236,"01257","01200","MONTANGES"
237,"01258","01090","MONTCEAUX"
238,"01259","01310","MONTCET"
239,"01260","01800","LE MONTELLIER"
240,"01261","01390","MONTHIEUX"
241,"01262","01120","MONTLUEL"
242,"01263","01090","MONTMERLE SUR SAONE"
243,"01264","01310","MONTRACOL"
244,"01265","01460","MONTREAL LA CLUSE"
245,"01266","01340","MONTREVEL EN BRESSE"
246,"01267","01460","NURIEUX VOLOGNAT"
247,"01268","01300","MURS ET GELIGNIEUX"
248,"01269","01130","NANTUA"
249,"01269","01460","NANTUA"
250,"01271","01300","NATTAGES"
251,"01272","01400","NEUVILLE LES DAMES"
252,"01273","01160","NEUVILLE SUR AIN"
253,"01274","01130","LES NEYROLLES"
254,"01275","01700","NEYRON"
255,"01276","01120","NIEVROZ"
256,"01277","01230","NIVOLLET MONTGRIFFON"
257,"01279","01230","ONCIEU"
258,"01280","01510","ORDONNAZ"
259,"01281","01210","ORNEX"
260,"01282","01430","OUTRIAZ"
261,"01283","01100","OYONNAX"
262,"01284","01190","OZAN"
263,"01285","01600","PARCIEUX"
264,"01286","01300","PARVES"
265,"01288","01630","PERON"
266,"01289","01960","PERONNAS"
267,"01290","01800","PEROUGES"
268,"01291","01540","PERREX"
269,"01292","01260","LE PETIT ABERGEMENT"
270,"01293","01430","PEYRIAT"
271,"01294","01300","PEYRIEU"
272,"01295","01140","PEYZIEUX SUR SAONE"
273,"01296","01270","PIRAJOUX"
274,"01297","01120","PIZAY"
275,"01298","01130","PLAGNE"
276,"01299","01330","LE PLANTAY"
277,"01300","01130","LE POIZAT"
278,"01301","01310","POLLIAT"
279,"01302","01350","POLLIEU"
280,"01303","01450","PONCIN"
281,"01304","01160","PONT D AIN"
282,"01305","01190","PONT DE VAUX"
283,"01306","01290","PONT DE VEYLE"
284,"01307","01460","PORT"
285,"01308","01550","POUGNY"
286,"01309","01250","POUILLAT"
287,"01310","01300","PREMEYZEL"
288,"01311","01110","PREMILLIEU"
289,"01312","01370","PRESSIAT"
290,"01313","01280","PREVESSIN MOENS"
291,"01314","01160","PRIAY"
292,"01316","01510","PUGIEU"
293,"01317","01250","RAMASSE"
294,"01318","01390","RANCE"
295,"01319","01990","RELEVANT"
296,"01320","01750","REPLONGES"
297,"01321","01250","REVONNAS"
298,"01322","01600","REYRIEUX"
299,"01323","01190","REYSSOUZE"
300,"01325","01800","RIGNIEUX LE FRANC"
301,"01328","01400","ROMANS"
302,"01329","01510","ROSSILLON"
303,"01330","01260","RUFFIEU"
304,"01331","01450","ST ALBAN"
305,"01332","01380","ST ANDRE DE BAGE"
306,"01333","01390","ST ANDRE DE CORCY"
307,"01334","01290","ST ANDRE D HUIRIAT"
308,"01335","01240","ST ANDRE LE BOUCHOUX"
309,"01336","01960","ST ANDRE SUR VIEUX JONC"
310,"01337","01190","ST BENIGNE"
311,"01338","01300","ST BENOIT"
312,"01339","01600","ST BERNARD"
313,"01340","01300","ST BOIS"
314,"01341","01300","ST CHAMP"
315,"01342","01120","STE CROIX"
316,"01343","01380","ST CYR SUR MENTHON"
317,"01344","01000","ST DENIS LES BOURG"
318,"01345","01500","ST DENIS EN BUGEY"
319,"01346","01340","ST DIDIER D AUSSIAT"
320,"01347","01600","ST DIDIER DE FORMANS"
321,"01348","01140","ST DIDIER SUR CHALARONNE"
322,"01349","01800","ST ELOI"
323,"01350","01370","ST ETIENNE DU BOIS"
324,"01351","01140","ST ETIENNE SUR CHALARONNE"
325,"01352","01190","ST ETIENNE SUR REYSSOUZE"
326,"01353","01600","STE EUPHEMIE"
327,"01354","01630","ST GENIS POUILLY"
328,"01355","01380","ST GENIS SUR MENTHON"
329,"01356","01400","ST GEORGES SUR RENON"
330,"01357","01130","ST GERMAIN DE JOUX"
331,"01358","01300","ST GERMAIN LES PAROISSES"
332,"01359","01240","ST GERMAIN SUR RENON"
333,"01360","01630","ST JEAN DE GONVILLE"
334,"01361","01800","ST JEAN DE NIOST"
335,"01362","01390","ST JEAN DE THURIGNEUX"
336,"01363","01640","ST JEAN LE VIEUX"
337,"01364","01560","ST JEAN SUR REYSSOUZE"
338,"01365","01290","ST JEAN SUR VEYLE"
339,"01366","01150","STE JULIE"
340,"01367","01560","ST JULIEN SUR REYSSOUZE"
341,"01368","01540","ST JULIEN SUR VEYLE"
342,"01369","01250","ST JUST"
343,"01370","01750","ST LAURENT SUR SAONE"
344,"01371","01390","ST MARCEL"
345,"01372","01510","ST MARTIN DE BAVEL"
346,"01373","01430","ST MARTIN DU FRENE"
347,"01374","01160","ST MARTIN DU MONT"
348,"01375","01310","ST MARTIN LE CHATEL"
349,"01376","01700","ST MAURICE DE BEYNOST"
350,"01378","01800","ST MAURICE DE GOURDANS"
351,"01379","01500","ST MAURICE DE REMENS"
352,"01380","01560","ST NIZIER LE BOUCHOUX"
353,"01381","01320","ST NIZIER LE DESERT"
354,"01382","01330","STE OLIVE"
355,"01383","01240","ST PAUL DE VARAX"
356,"01384","01230","ST RAMBERT EN BUGEY"
357,"01385","01310","ST REMY"
358,"01386","01150","ST SORLIN EN BUGEY"
359,"01387","01340","ST SULPICE"
360,"01388","01560","ST TRIVIER DE COURTES"
361,"01389","01990","ST TRIVIER SUR MOIGNANS"
362,"01390","01150","ST VULBAS"
363,"01391","01270","SALAVRE"
364,"01392","01580","SAMOGNAT"
365,"01393","01400","SANDRANS"
366,"01396","01150","SAULT BRENAZ"
367,"01397","01220","SAUVERNY"
368,"01398","01480","SAVIGNEUX"
369,"01399","01170","SEGNY"
370,"01400","01470","SEILLONNAZ"
371,"01401","01630","SERGY"
372,"01402","01190","SERMOYER"
373,"01403","01470","SERRIERES DE BRIORD"
374,"01404","01450","SERRIERES SUR AIN"
375,"01405","01960","SERVAS"
376,"01406","01560","SERVIGNAT"
377,"01407","01420","SEYSSEL"
378,"01408","01250","SIMANDRE SUR SURAN"
379,"01409","01260","SONGIEU"
380,"01410","01580","SONTHONNAX LA MONTAGNE"
381,"01411","01150","SOUCLIN"
